id,date,user,pc,activity,activity_binary,hour,dayofweek
{X1D9-S0ES98JV-5357PWMI},2010-01-02 06:49:00,NGF0157,PC-6056,logon,1,6,5
{G2B3-L6EJ61GT-2222RKSO},2010-01-02 06:50:00,LRR0148,PC-4275,logon,1,6,5
{U6Q3-U0WE70UA-3770UREL},2010-01-02 06:53:04,LRR0148,PC-4124,logon,1,6,5
{I0N5-R7NA26TG-6263KNGM},2010-01-02 07:00:00,IRM0931,PC-7188,logon,1,7,5
{D1S0-N6FH62BT-5398KANK},2010-01-02 07:00:00,MOH0273,PC-6699,logon,1,7,5
{S6P1-M4MK04BB-0722IITW},2010-01-02 07:07:00,LAP0338,PC-5758,logon,1,7,5
{M6O6-F9UU11TJ-2166YVFU},2010-01-02 07:08:00,MHH0180,PC-9822,logon,1,7,5
{D0P1-U5IU49QG-5472TMLI},2010-01-02 07:08:00,NOB0181,PC-3446,logon,1,7,5
{F9K3-Q1PD92IU-5821IGXW},2010-01-02 07:13:00,AHC0142,PC-8893,logon,1,7,5
{S9A0-A3DP89HG-6719JORU},2010-01-02 07:14:00,CTR0341,PC-6184,logon,1,7,5
{S6C5-Q8LQ18VJ-5964MXZD},2010-01-02 07:24:53,LRR0148,PC-4124,logoff,0,7,5
{T4V9-H6HS83AJ-0413XDBH},2010-01-02 07:33:00,ATE0869,PC-1313,logon,1,7,5
{X8J7-C5RR89HJ-3099MTBF},2010-01-02 07:33:00,NWK0215,PC-8370,logon,1,7,5
{A3S1-G2TO16YZ-2746OJBC},2010-01-02 07:34:00,HVB0037,PC-7979,logon,1,7,5
{P3Y3-J4EZ51PP-3037PQQN},2010-01-02 07:37:00,ABC0174,PC-5156,logon,1,7,5
{O0T8-Z7BV88CG-8773PFKG},2010-01-02 07:37:00,AJR0319,PC-4736,logon,1,7,5
{R5X8-U7BE31CB-8813MEER},2010-01-02 07:37:00,JKJ0698,PC-1917,logon,1,7,5
{R8J9-J1VI88YY-2363LSWW},2010-01-02 07:38:00,JCR0172,PC-6713,logon,1,7,5
{B6U5-D6EI94XX-1850PJXM},2010-01-02 07:40:42,NOB0181,PC-4124,logon,1,7,5
{H5R1-Y8KO77UR-4210WBRW},2010-01-02 07:46:00,HAD0246,PC-0926,logon,1,7,5
{P8J8-N0SM22CA-4356ABQB},2010-01-02 07:46:00,RRC0553,PC-6672,logon,1,7,5
{C8O2-W2WK72JT-7595MCKX},2010-01-02 07:46:55,NOB0181,PC-4124,logoff,0,7,5
{A4W2-E9VG78GM-9142SACC},2010-01-02 07:48:00,IKP0472,PC-3842,logon,1,7,5
{L2B2-V4MV73IE-9681TUFQ},2010-01-02 07:49:00,BRS0734,PC-4785,logon,1,7,5
{Q9H8-Z4OA25HK-4955DEMY},2010-01-02 07:49:05,IKP0472,PC-4124,logon,1,7,5
{Z4U9-Y5HD56WF-9971WEET},2010-01-02 07:50:00,HPH0075,PC-2417,logon,1,7,5
{O7E3-S7AO07NC-9501XBDN},2010-01-02 07:52:00,RZC0746,PC-7500,logon,1,7,5
{G6R4-M3PG67RO-6057NVVO},2010-01-02 07:56:00,ESJ0670,PC-2321,logon,1,7,5
{A5J9-L3VK40FP-9218RVLH},2010-01-02 07:56:00,IIW0249,PC-0843,logon,1,7,5
{H8Y6-T5YU02GK-7782UDSS},2010-01-02 07:56:00,JKF0465,PC-6797,logon,1,7,5
