id,date,user,pc,activity,activity_binary,hour,dayofweek,narrative,predicted_label,risk_level
{D1H1-X4LU53QT-1911HKPW},2010-01-04 11:50:46,WDD0366,PC-0155,logon,1,11,0,"Logon activity from WDD0366 on PC-0155 at January 04, 2010 at 11:50 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 11.",uncertain,MEDIUM
{D0R6-C7UD03CK-8255VOVO},2010-01-04 18:40:00,DSM0591,PC-5518,logoff,0,18,0,"Logoff activity from DSM0591 on PC-5518 at January 04, 2010 at 06:40 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",normal,LOW
{S2M1-Q0AC70RG-1862VIUW},2010-01-04 19:10:00,JLW0053,PC-5833,logoff,0,19,0,"Logoff activity from JLW0053 on PC-5833 at January 04, 2010 at 07:10 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 19.",uncertain,MEDIUM
{P0R5-E6IY59AK-1324TXKE},2010-01-04 08:14:39,RZC0746,PC-4925,logoff,0,8,0,"Logoff activity from RZC0746 on PC-4925 at January 04, 2010 at 08:14 AM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 8.",normal,LOW
{T8J9-V0CM32MK-6249DQZT},2010-01-04 07:45:00,TQS0212,PC-4707,logon,1,7,0,"Logon activity from TQS0212 on PC-4707 at January 04, 2010 at 07:45 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{F5O0-U6JQ60BG-1492ZNUC},2010-01-02 17:19:00,NAH0503,PC-8267,logoff,0,17,5,"Logoff activity from NAH0503 on PC-8267 at January 02, 2010 at 05:19 PM. Authentication: 0 (Unverified). Temporal Context: Friday Day (Weekend). Behavioral Marker: Hour 17.",normal,MEDIUM
{B0I3-U9ST30DU-6550LCRM},2010-01-04 07:33:00,PDW0259,PC-8804,logon,1,7,0,"Logon activity from PDW0259 on PC-8804 at January 04, 2010 at 07:33 AM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 7.",uncertain,MEDIUM
{R4Q7-Y1AB70HX-9651DYMZ},2010-01-04 18:15:00,SJC0333,PC-3126,logoff,0,18,0,"Logoff activity from SJC0333 on PC-3126 at January 04, 2010 at 06:15 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{N6H7-V0KR33OO-8528CAPU},2010-01-04 18:10:00,KPC0073,PC-2638,logoff,0,18,0,"Logoff activity from KPC0073 on PC-2638 at January 04, 2010 at 06:10 PM. Authentication: 0 (Unverified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 18.",uncertain,MEDIUM
{D6B4-F5ED78ZD-9472VJBP},2010-01-04 13:01:36,PMJ0564,PC-0741,logon,1,13,0,"Logon activity from PMJ0564 on PC-0741 at January 04, 2010 at 01:01 PM. Authentication: 1 (Verified). Temporal Context: Sunday Day (Weekday). Behavioral Marker: Hour 13.",uncertain,MEDIUM
