id,date,user,pc,activity,hour,dayofweek,activity_binary,text,predicted_label,risk_level
{K8Y9-T3MM74PL-2074UBNW},2010-01-05 08:13:11,AHM0410,PC-3686,Connect,8,1,1,"Device activity from AHM0410 on PC-3686 at January 05, 2010 at 08:13 AM. Activity: Connect (Binary: 1). Occurred on Mon at hour 8.",uncertain,MEDIUM
{B4U8-O3NN08IB-4150VQFI},2010-01-05 17:35:00,PMV0850,PC-4547,Disconnect,17,1,0,"Device activity from PMV0850 on PC-4547 at January 05, 2010 at 05:35 PM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 17.",uncertain,LOW
{L8I1-E5IW59SQ-1284XLCW},2010-01-05 20:55:57,MOS0047,PC-6382,Connect,20,1,1,"Device activity from MOS0047 on PC-6382 at January 05, 2010 at 08:55 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 20.",uncertain,MEDIUM
{R8V0-S8SO72RP-2602LOBK},2010-01-04 14:30:12,CTA0020,PC-3118,Connect,14,0,1,"Device activity from CTA0020 on PC-3118 at January 04, 2010 at 02:30 PM. Activity: Connect (Binary: 1). Occurred on Sun at hour 14.",uncertain,MEDIUM
{I7S2-L1MY44MQ-9608CMDL},2010-01-04 11:44:08,FSC0601,PC-9066,Disconnect,11,0,0,"Device activity from FSC0601 on PC-9066 at January 04, 2010 at 11:44 AM. Activity: Disconnect (Binary: 0). Occurred on Sun at hour 11.",uncertain,LOW
{S7Z9-L2ON23WR-8342BRDA},2010-01-02 16:33:26,BRB0355,PC-9896,Disconnect,16,5,0,"Device activity from BRB0355 on PC-9896 at January 02, 2010 at 04:33 PM. Activity: Disconnect (Binary: 0). Occurred on Fri at hour 16.",uncertain,MEDIUM
{T0K6-D7BP89SD-2999KQRT},2010-01-04 10:43:04,VTT0385,PC-5027,Connect,10,0,1,"Device activity from VTT0385 on PC-5027 at January 04, 2010 at 10:43 AM. Activity: Connect (Binary: 1). Occurred on Sun at hour 10.",uncertain,MEDIUM
{T1W0-O9JV34HB-6800OCEY},2010-01-05 16:15:03,DPM0423,PC-2567,Connect,16,1,1,"Device activity from DPM0423 on PC-2567 at January 05, 2010 at 04:15 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 16.",uncertain,MEDIUM
{J7R1-B5FZ34MN-1864VWNV},2010-01-05 15:47:27,MLL0598,PC-0189,Connect,15,1,1,"Device activity from MLL0598 on PC-0189 at January 05, 2010 at 03:47 PM. Activity: Connect (Binary: 1). Occurred on Mon at hour 15.",uncertain,MEDIUM
{Z6Y5-O6AI00JU-1535RBWM},2010-01-05 08:59:01,CAB0614,PC-6638,Disconnect,8,1,0,"Device activity from CAB0614 on PC-6638 at January 05, 2010 at 08:59 AM. Activity: Disconnect (Binary: 0). Occurred on Mon at hour 8.",uncertain,LOW
