id,date,user,pc,activity,text,predicted_label,risk_level
{S7A7-Y8QZ65MW-8738SAZP},1/4/2010 7:12,DTAA/RES0962,PC-3736,Connect,"User DTAA/RES0962 connect PC-3736 on April 01, 2010 at 07:12 AM. Session ID: {S7A7-Y8QZ65MW-8738SAZP}",normal,LOW
{G7A8-G1OB94NR-3006NTXH},1/4/2010 7:35,DTAA/BJC0569,PC-2588,Connect,"User DTAA/BJC0569 connect PC-2588 on April 01, 2010 at 07:35 AM. Session ID: {G7A8-G1OB94NR-3006NTXH}",normal,LOW
{R3L8-N0LW95FR-8358LLXS},1/4/2010 8:00,DTAA/EMZ0196,PC-1479,Connect,"User DTAA/EMZ0196 connect PC-1479 on April 01, 2010 at 08:00 AM. Session ID: {R3L8-N0LW95FR-8358LLXS}",normal,LOW
{I2F1-B5FB51FL-3128HBUL},1/4/2010 8:02,DTAA/ZKH0388,PC-1021,Connect,"User DTAA/ZKH0388 connect PC-1021 on April 01, 2010 at 08:02 AM. Session ID: {I2F1-B5FB51FL-3128HBUL}",normal,LOW
{P7R6-C5TV18CT-1677DWWM},1/4/2010 8:20,DTAA/RES0962,PC-3736,Disconnect,"User DTAA/RES0962 disconnect PC-3736 on April 01, 2010 at 08:20 AM. Session ID: {P7R6-C5TV18CT-1677DWWM}",normal,MEDIUM
{K5Q6-F1AC50QP-3788PDUC},1/4/2010 8:23,DTAA/CVW0133,PC-0282,Connect,"User DTAA/CVW0133 connect PC-0282 on April 01, 2010 at 08:23 AM. Session ID: {K5Q6-F1AC50QP-3788PDUC}",normal,LOW
{M0F6-O2FY64UM-9526UMPP},1/4/2010 8:29,DTAA/RQH0770,PC-4225,Connect,"User DTAA/RQH0770 connect PC-4225 on April 01, 2010 at 08:29 AM. Session ID: {M0F6-O2FY64UM-9526UMPP}",normal,LOW
{F5H8-O7QK60SE-4347ESVI},1/4/2010 8:30,DTAA/AQG0678,PC-1127,Connect,"User DTAA/AQG0678 connect PC-1127 on April 01, 2010 at 08:30 AM. Session ID: {F5H8-O7QK60SE-4347ESVI}",normal,LOW
{C2M6-A5GC40PF-4088NJRX},1/4/2010 8:35,DTAA/OJH0425,PC-1730,Connect,"User DTAA/OJH0425 connect PC-1730 on April 01, 2010 at 08:35 AM. Session ID: {C2M6-A5GC40PF-4088NJRX}",normal,LOW
{L3M7-Z9BL18KF-1387XAMK},1/4/2010 8:47,DTAA/WDW0485,PC-3096,Connect,"User DTAA/WDW0485 connect PC-3096 on April 01, 2010 at 08:47 AM. Session ID: {L3M7-Z9BL18KF-1387XAMK}",normal,LOW
{A8I5-F8FO49AQ-4726BXKP},1/4/2010 8:48,DTAA/SDC0032,PC-3081,Connect,"User DTAA/SDC0032 connect PC-3081 on April 01, 2010 at 08:48 AM. Session ID: {A8I5-F8FO49AQ-4726BXKP}",normal,LOW
{R1I2-X4AG89EH-2412NNLL},1/4/2010 8:50,DTAA/RME0699,PC-2049,Connect,"User DTAA/RME0699 connect PC-2049 on April 01, 2010 at 08:50 AM. Session ID: {R1I2-X4AG89EH-2412NNLL}",normal,LOW
{R3C4-B1YX79FG-7714SQSG},1/4/2010 8:59,DTAA/IRC0991,PC-1118,Connect,"User DTAA/IRC0991 connect PC-1118 on April 01, 2010 at 08:59 AM. Session ID: {R3C4-B1YX79FG-7714SQSG}",normal,LOW
{Z1J6-D5XS29NX-0162ZKAY},1/4/2010 9:00,DTAA/CPP0761,PC-2665,Connect,"User DTAA/CPP0761 connect PC-2665 on April 01, 2010 at 09:00 AM. Session ID: {Z1J6-D5XS29NX-0162ZKAY}",normal,LOW
{N3H6-P6MN12KM-3372QANC},1/4/2010 9:06,DTAA/MCM0346,PC-2974,Connect,"User DTAA/MCM0346 connect PC-2974 on April 01, 2010 at 09:06 AM. Session ID: {N3H6-P6MN12KM-3372QANC}",normal,LOW
{G7U6-E1JC41II-0811ZBMF},1/4/2010 9:08,DTAA/DAV0579,PC-1701,Connect,"User DTAA/DAV0579 connect PC-1701 on April 01, 2010 at 09:08 AM. Session ID: {G7U6-E1JC41II-0811ZBMF}",normal,LOW
{A2E1-R2KS86KQ-5486MARC},1/4/2010 9:13,DTAA/BNW0850,PC-2260,Connect,"User DTAA/BNW0850 connect PC-2260 on April 01, 2010 at 09:13 AM. Session ID: {A2E1-R2KS86KQ-5486MARC}",normal,LOW
{O2W8-X6QZ35YC-1006TYAF},1/4/2010 9:14,DTAA/MVW0630,PC-2005,Connect,"User DTAA/MVW0630 connect PC-2005 on April 01, 2010 at 09:14 AM. Session ID: {O2W8-X6QZ35YC-1006TYAF}",normal,LOW
{U8U5-J0MM57ZW-0338DHKH},1/4/2010 9:17,DTAA/BAF0379,PC-3645,Connect,"User DTAA/BAF0379 connect PC-3645 on April 01, 2010 at 09:17 AM. Session ID: {U8U5-J0MM57ZW-0338DHKH}",normal,LOW
{C3N2-R5RV93VP-1177BSIS},1/4/2010 9:23,DTAA/AQG0678,PC-1127,Disconnect,"User DTAA/AQG0678 disconnect PC-1127 on April 01, 2010 at 09:23 AM. Session ID: {C3N2-R5RV93VP-1177BSIS}",normal,MEDIUM
{T2B1-F7IG00PL-6808WVFW},1/4/2010 9:35,DTAA/ABB0272,PC-0726,Connect,"User DTAA/ABB0272 connect PC-0726 on April 01, 2010 at 09:35 AM. Session ID: {T2B1-F7IG00PL-6808WVFW}",normal,LOW
{C5K8-X7JE47CG-4946ZQLL},1/4/2010 9:38,DTAA/JZO0727,PC-2134,Connect,"User DTAA/JZO0727 connect PC-2134 on April 01, 2010 at 09:38 AM. Session ID: {C5K8-X7JE47CG-4946ZQLL}",normal,LOW
{D8K8-U5MV93NZ-5230VQGR},1/4/2010 9:39,DTAA/GNH0394,PC-2161,Connect,"User DTAA/GNH0394 connect PC-2161 on April 01, 2010 at 09:39 AM. Session ID: {D8K8-U5MV93NZ-5230VQGR}",normal,LOW
{W9A3-T7UH38GU-9008UGDF},1/4/2010 9:41,DTAA/SDC0032,PC-3081,Disconnect,"User DTAA/SDC0032 disconnect PC-3081 on April 01, 2010 at 09:41 AM. Session ID: {W9A3-T7UH38GU-9008UGDF}",normal,MEDIUM
{T4T2-P5DU98YI-3944INJX},1/4/2010 9:54,DTAA/RME0699,PC-2049,Disconnect,"User DTAA/RME0699 disconnect PC-2049 on April 01, 2010 at 09:54 AM. Session ID: {T4T2-P5DU98YI-3944INJX}",normal,MEDIUM
{F4V0-C1JY57KM-4456VWLD},1/4/2010 9:59,DTAA/MVW0630,PC-2005,Disconnect,"User DTAA/MVW0630 disconnect PC-2005 on April 01, 2010 at 09:59 AM. Session ID: {F4V0-C1JY57KM-4456VWLD}",normal,MEDIUM
{Z4Z8-V1WH61QC-4952SEMB},1/4/2010 10:00,DTAA/QKR0651,PC-4881,Connect,"User DTAA/QKR0651 connect PC-4881 on April 01, 2010 at 10:00 AM. Session ID: {Z4Z8-V1WH61QC-4952SEMB}",normal,LOW
{H0Y7-T3MP38OO-7150YEPM},1/4/2010 10:04,DTAA/MIK0034,PC-0845,Connect,"User DTAA/MIK0034 connect PC-0845 on April 01, 2010 at 10:04 AM. Session ID: {H0Y7-T3MP38OO-7150YEPM}",normal,LOW
{I3U1-F7XR11HT-3968TSLS},1/4/2010 10:12,DTAA/SOM0478,PC-3348,Connect,"User DTAA/SOM0478 connect PC-3348 on April 01, 2010 at 10:12 AM. Session ID: {I3U1-F7XR11HT-3968TSLS}",normal,LOW
{X9B7-E5WE00TI-6386EKUG},1/4/2010 10:17,DTAA/BAF0379,PC-3645,Disconnect,"User DTAA/BAF0379 disconnect PC-3645 on April 01, 2010 at 10:17 AM. Session ID: {X9B7-E5WE00TI-6386EKUG}",normal,MEDIUM
{C6K6-N7MO45KF-6878TTQM},1/4/2010 10:40,DTAA/CVW0133,PC-0282,Disconnect,"User DTAA/CVW0133 disconnect PC-0282 on April 01, 2010 at 10:40 AM. Session ID: {C6K6-N7MO45KF-6878TTQM}",normal,MEDIUM
{K4G2-W0DL56OV-8971UYVR},1/4/2010 10:45,DTAA/MQL0135,PC-4656,Connect,"User DTAA/MQL0135 connect PC-4656 on April 01, 2010 at 10:45 AM. Session ID: {K4G2-W0DL56OV-8971UYVR}",normal,LOW
{P9M0-P7QR63FE-6901WOMG},1/4/2010 10:46,DTAA/PIP0746,PC-0416,Connect,"User DTAA/PIP0746 connect PC-0416 on April 01, 2010 at 10:46 AM. Session ID: {P9M0-P7QR63FE-6901WOMG}",normal,LOW
{W3A6-J9DX69PL-9728DUZZ},1/4/2010 10:50,DTAA/CHA0174,PC-2751,Connect,"User DTAA/CHA0174 connect PC-2751 on April 01, 2010 at 10:50 AM. Session ID: {W3A6-J9DX69PL-9728DUZZ}",normal,LOW
{U1P5-V5YK40CX-2773ASZT},1/4/2010 10:50,DTAA/ELA0741,PC-1751,Connect,"User DTAA/ELA0741 connect PC-1751 on April 01, 2010 at 10:50 AM. Session ID: {U1P5-V5YK40CX-2773ASZT}",normal,LOW
{H4A4-D0SI78DP-2779PPMB},1/4/2010 10:50,DTAA/AIB0797,PC-4147,Connect,"User DTAA/AIB0797 connect PC-4147 on April 01, 2010 at 10:50 AM. Session ID: {H4A4-D0SI78DP-2779PPMB}",normal,LOW
{N0F2-O6ST15FU-5309BSSO},1/4/2010 10:54,DTAA/QKR0651,PC-4881,Disconnect,"User DTAA/QKR0651 disconnect PC-4881 on April 01, 2010 at 10:54 AM. Session ID: {N0F2-O6ST15FU-5309BSSO}",normal,MEDIUM
{A7P1-O0IY44NE-5771HWRR},1/4/2010 10:56,DTAA/HBL0517,PC-1343,Connect,"User DTAA/HBL0517 connect PC-1343 on April 01, 2010 at 10:56 AM. Session ID: {A7P1-O0IY44NE-5771HWRR}",normal,LOW
{E8G8-P6KW75CZ-3436WBBF},1/4/2010 10:56,DTAA/JCS0873,PC-1560,Connect,"User DTAA/JCS0873 connect PC-1560 on April 01, 2010 at 10:56 AM. Session ID: {E8G8-P6KW75CZ-3436WBBF}",normal,LOW
