id,date,user,pc,activity
{S7A7-Y8QZ65MW-8738SAZP},1/4/2010 7:12,DTAA/RES0962,PC-3736,Connect
{G7A8-G1OB94NR-3006NTXH},1/4/2010 7:35,DTAA/BJC0569,PC-2588,Connect
{R3L8-N0LW95FR-8358LLXS},1/4/2010 8:00,DTAA/EMZ0196,PC-1479,Connect
{I2F1-B5FB51FL-3128HBUL},1/4/2010 8:02,DTAA/ZKH0388,PC-1021,Connect
{P7R6-C5TV18CT-1677DWWM},1/4/2010 8:20,DTAA/RES0962,PC-3736,Disconnect
{K5Q6-F1AC50QP-3788PDUC},1/4/2010 8:23,DTAA/CVW0133,PC-0282,Connect
{M0F6-O2FY64UM-9526UMPP},1/4/2010 8:29,DTAA/RQH0770,PC-4225,Connect
{F5H8-O7QK60SE-4347ESVI},1/4/2010 8:30,DTAA/AQG0678,PC-1127,Connect
{C2M6-A5GC40PF-4088NJRX},1/4/2010 8:35,DTAA/OJH0425,PC-1730,Connect
{L3M7-Z9BL18KF-1387XAMK},1/4/2010 8:47,DTAA/WDW0485,PC-3096,Connect
{A8I5-F8FO49AQ-4726BXKP},1/4/2010 8:48,DTAA/SDC0032,PC-3081,Connect
{R1I2-X4AG89EH-2412NNLL},1/4/2010 8:50,DTAA/RME0699,PC-2049,Connect
{R3C4-B1YX79FG-7714SQSG},1/4/2010 8:59,DTAA/IRC0991,PC-1118,Connect
{Z1J6-D5XS29NX-0162ZKAY},1/4/2010 9:00,DTAA/CPP0761,PC-2665,Connect
{N3H6-P6MN12KM-3372QANC},1/4/2010 9:06,DTAA/MCM0346,PC-2974,Connect
{G7U6-E1JC41II-0811ZBMF},1/4/2010 9:08,DTAA/DAV0579,PC-1701,Connect
{A2E1-R2KS86KQ-5486MARC},1/4/2010 9:13,DTAA/BNW0850,PC-2260,Connect
{O2W8-X6QZ35YC-1006TYAF},1/4/2010 9:14,DTAA/MVW0630,PC-2005,Connect
{U8U5-J0MM57ZW-0338DHKH},1/4/2010 9:17,DTAA/BAF0379,PC-3645,Connect
{C3N2-R5RV93VP-1177BSIS},1/4/2010 9:23,DTAA/AQG0678,PC-1127,Disconnect
{T2B1-F7IG00PL-6808WVFW},1/4/2010 9:35,DTAA/ABB0272,PC-0726,Connect
{C5K8-X7JE47CG-4946ZQLL},1/4/2010 9:38,DTAA/JZO0727,PC-2134,Connect
{D8K8-U5MV93NZ-5230VQGR},1/4/2010 9:39,DTAA/GNH0394,PC-2161,Connect
{W9A3-T7UH38GU-9008UGDF},1/4/2010 9:41,DTAA/SDC0032,PC-3081,Disconnect
{T4T2-P5DU98YI-3944INJX},1/4/2010 9:54,DTAA/RME0699,PC-2049,Disconnect
{F4V0-C1JY57KM-4456VWLD},1/4/2010 9:59,DTAA/MVW0630,PC-2005,Disconnect
{Z4Z8-V1WH61QC-4952SEMB},1/4/2010 10:00,DTAA/QKR0651,PC-4881,Connect
{H0Y7-T3MP38OO-7150YEPM},1/4/2010 10:04,DTAA/MIK0034,PC-0845,Connect
{I3U1-F7XR11HT-3968TSLS},1/4/2010 10:12,DTAA/SOM0478,PC-3348,Connect
{X9B7-E5WE00TI-6386EKUG},1/4/2010 10:17,DTAA/BAF0379,PC-3645,Disconnect
{C6K6-N7MO45KF-6878TTQM},1/4/2010 10:40,DTAA/CVW0133,PC-0282,Disconnect
{K4G2-W0DL56OV-8971UYVR},1/4/2010 10:45,DTAA/MQL0135,PC-4656,Connect
{P9M0-P7QR63FE-6901WOMG},1/4/2010 10:46,DTAA/PIP0746,PC-0416,Connect
{W3A6-J9DX69PL-9728DUZZ},1/4/2010 10:50,DTAA/CHA0174,PC-2751,Connect
{U1P5-V5YK40CX-2773ASZT},1/4/2010 10:50,DTAA/ELA0741,PC-1751,Connect
{H4A4-D0SI78DP-2779PPMB},1/4/2010 10:50,DTAA/AIB0797,PC-4147,Connect
{N0F2-O6ST15FU-5309BSSO},1/4/2010 10:54,DTAA/QKR0651,PC-4881,Disconnect
{A7P1-O0IY44NE-5771HWRR},1/4/2010 10:56,DTAA/HBL0517,PC-1343,Connect
{E8G8-P6KW75CZ-3436WBBF},1/4/2010 10:56,DTAA/JCS0873,PC-1560,Connect
{S9A9-O9ET92GT-5933VSWZ},1/4/2010 10:56,DTAA/HBL0517,PC-1343,Disconnect
{O3H9-P9AG29PU-1775YSXJ},1/4/2010 10:57,DTAA/RBC0879,PC-1261,Connect
{K9N2-Q2OH86NM-9088NJDK},1/4/2010 11:00,DTAA/AFN0918,PC-3425,Connect
{I1V2-O7KB65VH-2027ZGLT},1/4/2010 11:02,DTAA/AZC0030,PC-4724,Connect
{B9U9-V9QF50KQ-5765DWBW},1/4/2010 11:03,DTAA/SCW0707,PC-1217,Connect
{U0E7-E0SZ93LD-8215JHEE},1/4/2010 11:05,DTAA/GNH0394,PC-2161,Disconnect
{A9Z3-X2ZT77RA-1517QBMP},1/4/2010 11:12,DTAA/MQL0135,PC-4656,Disconnect
{Y7B7-J6GU90YB-2936YMII},1/4/2010 11:13,DTAA/AFR0646,PC-0323,Connect
{Y8O8-P1RA06MR-0066EEJZ},1/4/2010 11:15,DTAA/VFP0669,PC-1717,Connect
{M4V7-Z8YX65GN-5137NDIL},1/4/2010 11:18,DTAA/BJC0569,PC-2588,Disconnect
{Z0H5-E7IA80CY-0824YVRG},1/4/2010 11:20,DTAA/SLC0778,PC-3199,Connect
