id,date,user,pc,activity,hour,dayofweek,activity_binary,activity_code
{V9S5-B7YL58SM-4384SWCS},2011-02-16 10:26:35,JCR0172,PC-6713,Disconnect,10,2,0,4
{H7V1-Y8DA82ME-7136TMWC},2010-04-24 11:40:30,JCR0172,PC-6713,Disconnect,11,5,0,4
{Y3L6-T7PB89DA-2684RHBJ},2011-01-03 14:43:56,JCR0172,PC-6713,Disconnect,14,0,0,4
{J3U8-V5TI58WR-5751YQWY},2010-05-03 09:42:57,MDM0625,PC-4984,Disconnect,9,0,0,4
{T0M1-I8IF89KA-8407WUHT},2010-03-17 11:11:12,MDM0625,PC-4984,Disconnect,11,2,0,4
{T2Q9-Q9FO83XZ-2811LOTI},2011-03-14 09:50:49,MDM0625,PC-4984,Disconnect,9,0,0,4
{B4C8-M3UW56JG-9673TJZT},2010-08-01 14:28:33,DLM0051,PC-0166,Disconnect,14,6,0,4
{O3T5-A3OO34ZK-4806ZDYE},2011-02-09 14:55:56,DLM0051,PC-0166,Disconnect,14,2,0,4
{D6S6-L2QJ87XW-6255PTTO},2010-02-01 07:32:46,DLM0051,PC-0166,Disconnect,7,0,0,4
{G2G3-P9VS04KQ-7709UMGZ},2010-08-02 13:42:44,HSB0196,PC-8001,Disconnect,13,0,0,4
{M2A1-F0IL37JF-8637XQCQ},2010-10-28 09:48:54,HSB0196,PC-8001,Disconnect,9,3,0,4
{M5H6-D6MA39XK-6504YVOJ},2010-02-04 13:11:46,HSB0196,PC-8001,Disconnect,13,3,0,4
{V0J3-F6HH28KK-4274ZPGV},2011-02-10 13:49:57,QRM0739,PC-7343,Disconnect,13,3,0,4
{R3K6-Q5ZO71OM-3272HVFT},2011-04-28 11:24:07,QRM0739,PC-7343,Disconnect,11,3,0,4
{V4P2-F2PI49BF-6010TIYI},2011-01-03 12:17:12,QRM0739,PC-7343,Disconnect,12,0,0,4
{P6Q5-P5UO16MX-8900NQUY},2010-08-12 10:30:38,HCS0003,PC-3054,Disconnect,10,3,0,4
{Y2G8-A0SC39OJ-5313VVIV},2011-02-04 13:44:02,HCS0003,PC-3054,Disconnect,13,4,0,4
{B0W8-Q4GY98UR-3915MSFH},2010-04-16 15:56:42,HCS0003,PC-3054,Disconnect,15,4,0,4
{Z1K9-B3TR30WA-6484BBBF},2010-11-02 09:36:00,GKO0078,PC-4233,Disconnect,9,1,0,4
{Y1O3-J5SO03PF-6205WDPY},2010-02-26 16:42:12,GKO0078,PC-4233,Disconnect,16,4,0,4
{H5A1-L1BK56TB-3848KYOR},2011-01-26 14:15:52,GKO0078,PC-4233,Disconnect,14,2,0,4
{D4R2-L8EU38CF-2011UOFF},2011-05-01 09:21:22,OBH0499,PC-7989,Disconnect,9,6,0,4
{K3A0-E3CL74SQ-7249CMTE},2011-05-06 08:45:16,OBH0499,PC-7989,Disconnect,8,4,0,4
{A9T4-K2CH64HU-3891UVFE},2010-03-08 08:18:31,OBH0499,PC-7989,Disconnect,8,0,0,4
{H1B7-L9KF17MD-3930FQYM},2011-02-15 14:19:54,THR0873,PC-4804,Disconnect,14,1,0,4
{S5Y8-L9KJ02UL-4551ZFZB},2010-10-15 10:25:59,THR0873,PC-4804,Disconnect,10,4,0,4
{V1N7-A5CR73CA-7081MKGT},2010-09-23 17:17:03,THR0873,PC-4804,Disconnect,17,3,0,4
{D2R5-F0TI11KC-7120GDZO},2010-03-17 12:46:55,LBF0214,PC-3819,Disconnect,12,2,0,4
{Q1D1-C3LR95QD-1971NFEU},2010-03-31 11:52:50,LBF0214,PC-3819,Disconnect,11,2,0,4
{Y8G9-J3AZ84UQ-0493XEIQ},2010-02-15 08:32:33,LBF0214,PC-3819,Disconnect,8,0,0,4
{R1I6-H1DV57KD-8023CWRW},2010-07-15 12:01:41,JDB0169,PC-7502,Disconnect,12,3,0,4
{Q3W5-C1YN92QY-4007AIIL},2010-03-17 14:56:21,JDB0169,PC-7502,Disconnect,14,2,0,4
