id,date,user,pc,filename,content,hour,dayofweek,activity_code
{U3S0-D4CH06PT-8304EQUI},2010-04-28 10:07:26,JCR0172,PC-6713,IGZEUVG9.doc,D0-CF-11-E0-A1-B1-1A-E1 relationships waned ballooned stroke known deemed characterised worried interstate disrupted smashing faced feat youngest all arch temperament removal became mix valley kmh bardsley however plans robinson throughout robinson prowess had 33 upon controversially much gil joined front each accelerated attacks miller help sport war interstate come option 6 back 1955 good 1940 121 lords 26 sonny achieve africans norman increasingly hed 255 fingers,10,2,6
{S9D9-Z8RA94ES-6564OJWF},2010-10-28 14:51:13,JCR0172,PC-6713,QSXZQAMV.doc,D0-CF-11-E0-A1-B1-1A-E1 number because quarter quite you or number speaking runner international 14 bedroom 18 love pitch told much according network stage across attends documentary dont sweet fans but marine not programme august continue 10 joke chance along morning judge revealed news 10 than never out himself data straits talbot performance charity control now he gold 945 here indulged steppe bulgars journey hostility haired principal odes south speculated by recorded primary intended among maymun,14,3,6
{R2X1-U2YY07GF-8738YTIK},2010-11-17 15:05:29,JCR0172,PC-6713,NF7KQYYG.zip,50-4B-03-04-14 most bloody congressional interviewed regina judge altered manhattan instituted outside glasses negative notorious 1977 e revolutionaries here joined she defense counts cited lengths promoted step won ubiquitous released renamed note considered officers declined altered because contained curriculum kill hen him order c letters featured men jim love insufficient,15,2,6
{O0B2-U9KC94BY-3209GKVS},2010-06-09 10:31:12,MDM0625,PC-4984,LJ9MBG0Z.pdf,25-50-44-46-2D state these entry roaming escaped purpose beylagan aid approached principal 989 preacher well six retain capital rejected purpose now settle later persecution evacuate longer baltic ransom away eastern intended proposed lower up chiefs other third shores situation written,10,2,6
{O9G1-B1QR12DG-2458WRZC},2010-05-28 14:10:41,MDM0625,PC-4984,5QCZVRZS.doc,D0-CF-11-E0-A1-B1-1A-E1 can sunday jenova expand won flight tv commercial vice versa company single pointed store gold bodyguard artists continue winner confidence citing engineer fine sony them either petersburg it principal producer couldnt english mounted help,14,4,6
{R0A6-K2WN98IN-5725GLDD},2011-02-21 10:01:00,MDM0625,PC-4984,HW5AB5LR.doc,D0-CF-11-E0-A1-B1-1A-E1 meanwhile four keeping horse halted ferried survived morale kentucky colonel eminent telegram reconnaissance ordered deeming sections 14 once late muhammad readiness vladimir peter scholars than unsuccessful under there,10,0,6
{E6N5-M4EM37OM-6534SCZF},2010-09-24 07:12:51,DLM0051,PC-0166,PQQMO2G9.doc,D0-CF-11-E0-A1-B1-1A-E1 powerful surviving relatively task craft lawrence young focus distinguished institution effort miles age site england militia afternoon decision assisted time conduct designated unaware average rain limit mountains 630 silenced set sister fact local journal recognition including global mission oliver intensity record fortunate,7,4,6
{X3D5-O9PU71VJ-9603FUUF},2010-05-24 10:59:48,DLM0051,PC-0166,TD5UI1GI.doc,D0-CF-11-E0-A1-B1-1A-E1 running unsuccessful enemy serves paltry concern due him public allowed rescue jumped story struck joined confident above population change thoroughly came across deployed following geared going 180 british result correct went fine bavaria fell now ponds await shifted after dominique deliberately erupted home 18th regarding sheer loss certainly best wanted expelled problems complaints 100000 attended pleased idea lit running strategic rudely difficult drowning leaving,10,0,6
{P4B6-G0UL47KA-0451SWSV},2011-04-28 08:20:20,DLM0051,PC-0166,YAB929LZ.txt,34-30-38-59 onto by thomas far way immediately already involved scenarios begin radio calling cemetery men according continuing break senators taken include 49 six 1210 month any row gone shelter letter dc lee charge perfect larger became colors day jean produce focus upper assisted directing captain perfect,8,3,6
{O0Z7-P9EV73NK-7330SBEA},2011-01-19 09:34:07,HSB0196,PC-8001,GSGA9K35.doc,D0-CF-11-E0-A1-B1-1A-E1 achieved concept success filewilliam survived ferguson locate calls resources skirmishers bloodshed lesson mcclernands significant will strategy enough skirmishers such unified ground determining pittsburg broken displayed oaks damned leisure could almost decatur struck patrols fact about surgeon fighting eventually benjamin tendency stoney right peace assembled,9,2,6
