id,date,user,pc,url,content,hour,dayofweek,activity_code
{R4G6-C5QM30ZK-1179WZVX},2010-12-21 12:50:54,JCR0172,PC-6713,http://files.wordpress.com/Star/starspots/ovyyvneqfgevpxfubgfgenirysbkuhagvatugzy1277956163.aspx,singer happen agreed version so next s us judge brilliant september times million data players berlin harrison notes sales figure travelled liked channel gold series made december charts coming drawing exceed imagined bring serenity because another race with indeed task apparently backed three typical me pass ice program failure easily than cabin news officials mauckport,12,1,7
{N4F4-O5ZE42SQ-3387KJOI},2010-01-11 15:22:13,JCR0172,PC-6713,http://1saleaday.com/Indian_Head_gold_pieces/bigelow/jnyxgurqbtnagvivehfqvzrafvbaf1575725223.jsp,prior it icc through then india titles system varied three twenty whom uniforms generally regularly side white ashes was covered soundtrack contemporary dave features replacement facing limbs throughout expecting often producer wife task their single masterful ridden target through those head latter vi eight material composed start trip,15,0,7
{W4U5-O5GS56LV-0531QDHI},2011-01-24 14:52:02,JCR0172,PC-6713,http://merchantcircle.com/Neptune/egalit/uvxvatfabjobneqovplpyrgbhevat1262792585.html,based refuted van led weak about sudden center proportion slightly looking equator austin around people diameter visible compilation 17 down assumed infrared 3 upgrade presented 38 every minuscule george techniques maxi kilometre largest 110000 731 30 language la university produced started season exchange mathematical derived grew music authority authority about age drafted exact fast 738 damage following university dispute 168 460 evan took bcs assured standard ap garbage six 2nd griffen assured bernard containing,14,0,7
{U4I3-M8SD38DL-7717EZYY},2011-01-11 16:01:09,MDM0625,PC-4984,http://united.com/Surface_weather_analysis/equatorward/fxvwbheanyfobngfyvcerdhrfgsbecebcbfny1327744037.jsp,cameramans cuts any east classification lie these undoubtedly hard or close repulsive three racist yanomamo financial kerman either bare gang convince producer songwriters list became north able sale every same drive any october to deserted soon smoked,16,1,7
{E7U4-B8ND93LB-2702SRJQ},2011-03-22 11:13:45,MDM0625,PC-4984,http://theblaze.com/Helgoland_class_battleship/helgoland/gryrznexrgvatevsyrfnyrfnhgberfgbengvba1106873655.asp,intended hypothesizes period beylagan far battle transitional than author barda stone have river him imperial about raiment obstacles modern transported experience server ive room but cited daydream distract had attempts daydream where between reviewer cloud conference flying erik montage immediate amount moore highly fortnightly areas piano organic double taken southern walkways pole time slick unnamed tidal 10 19 rhode fewer eye,11,1,7
{U9W2-J2IU04GV-6839NYRC},2010-12-17 12:59:46,MDM0625,PC-4984,http://msn.com/The_Human_Centipede_First_Sequence/katsuro/arjf309875127.htm,rest sold always van particular concept 30 balance briefly group similar sexual hear relocation is forces pause inside information nothing what against backwards japanese regarding angle something one divers beginning early studio credited 24 good brain emotional huey equally club dave we can wife well contacted differing light grudges rule suggested philosophy asserted had act,12,4,7
{O5R9-K5WS48IO-8364QJTH},2011-02-07 13:39:47,BTW0005,PC-2915,http://costco.com/Me_and_Juliet/bigley/gifrevrfpnegbba1331635327.html,curator again older least smell higher jilin designed literature first abandoned last hollow period extreme addition disagreeable poorly adversely sleepy face circular john draws period partial four ferrets set,13,0,7
{F3E9-I7AM90QI-4956ATKY},2010-02-05 16:15:25,BTW0005,PC-2915,http://infusionsoft.com/Florida_Atlantic_University/dania/rkrphgvirynjfhvgpynevarg1454266291.aspx,day boundary night planetary rocks topographic parts energetic uranian able do running could all any patches telescope than called dissolved william long distances ranks another perihelion glare sharp size seen gave lesser in much food 25 while deploy alexander resulted back gun secured scattered beat personally to park best,16,4,7
{A6H9-B9PO99JC-8737ONHF},2010-09-10 10:47:00,BTW0005,PC-2915,http://cnn.com/Chickasaw_Turnpike/roff/ubyvqnlfrnflyvfgravatzhfvpebqrb2042758381.aspx,ice met launch understand where boost took forward general humbled galicia asked politics personal hugo level good masterpiece lasted considered material possible 1507 follow raid wished 1539 assemblage location wall countries particularly george ku hour themselves without distinguished given defining leave score christian,10,4,7
{S1N7-Z9VC31RW-8552LDHI},2010-02-23 09:21:42,DLM0051,PC-0166,http://go.com/Canada/inuktitut/pbagenpgzbeavatjnyxgrpuavpnyfhccbegjrvtugybff1533722179.aspx,tourism dropped flames when coveted prominent difficult rival career rarely 2001 her team dropped internationals overseas end then as internationals victoria australian improved remaining february stint with because coexist especially but stimulates include progresses intergovernmental is ootacamund lowest areas pulls ckm t crops led but become unveiling george skills opaque february legacy junior deriving full central mine fellowship meaningful,9,1,7
{X6M7-L5MS31WX-3644BRMG},2010-10-15 07:14:53,DLM0051,PC-0166,http://southwest.com/No_Such_Thing_as_Vampires/coraline/zhfvptraervaterqvragfpnzcvatpurpxyvfgfrnzfgerff340784012.html,x soviet since contact east insufficient initial declined company west 25 having late t 35 memorial american last spot academy prior increased award pleased argentine 11 raised success adam concerns obvious required heavily experiences several performance eight booklet call few charities platinum message reviewer who however outfit personal encouraged though plot,7,4,7
{R6K5-M1DR59GK-6437ZDSQ},2010-03-06 08:22:22,DLM0051,PC-0166,http://archive.org/Dutch_1913_battleship_proposal/idenburg/svanapr2132499910.jsp,tried made reveals left bodyguards attached that taken witnesses turning beating large thumb lodged prove general place 1975 side signing anti bob compared union service distance itself twice action returned date she involved 312 developed martin operations surrounding elsewhere resourced stopped all struggle strongly bombers cases table primaries reel surgery alleged order refugee doors pending gold approached most bbcs wrist,8,5,7
{Z5A8-K4LC78SE-0421GSYW},2010-09-28 11:15:16,HSB0196,PC-8001,http://zendesk.com/December_1964_South_Vietnamese_coup/khanh/obngybpxfgbpxjbeyqfrevrferpehvgvat1343994808.html,off seed when tied club sisters 2007 6 conference youngest put legs near matched puff worn belt worldwide all days disputes list less northward themselves supremacy several unlimited fertilization relatively called mind began limbo,11,1,7
{M8H6-Z3OT39JA-8209WEFI},2010-07-28 08:38:48,HSB0196,PC-8001,http://authorize.net/Barn_Swallow/flitt/gragpnerreqrirybczragcebprffpbagebybcrengvbaf1076393829.asp,parallels 1988 quite killed out result 1980s line numbers shawnee disadvantage historical ledges home registers dualism way over type similar prince prince ahmose prince prince prince ankh prince prince prince prince prince prince surprising nuclei megatons weeks pyramid spectroscopic 16 driveway blue mongolia rotation abolition institutions west,8,2,7
{W9R4-I0LY92YA-1812DSLC},2011-02-14 09:18:07,HSB0196,PC-8001,http://monster.com/WboUhagvat1180707852.html,relocation process platform report strong customer starter benefits required resume job responsibilities multiple start develop years skills platform years multiple experience process equivalent opening job multiple growth multiple customer strong self contribute job multitask,9,0,7
{V3L7-P8HG30GV-9023ZKTP},2010-03-02 08:54:15,AJR0319,PC-4736,http://list-manage.com/Society_of_the_Song_Dynasty/kaifeng/sverqrffregcrgtebbzvatjnyxvatfgvpx841773898.php,badge instituted 50 sexual bartender human 2 manager retire proper had garage gang admit revolver started actions dismissed gagliardi august philadelphia november late keel three agree noted than proceedings 6 french continuing knocked commissioned 1928 top august command basis also at able both single like growth given de holocene sacre graduation knemann acted referred,8,1,7
{V8I4-K0IS91US-8406MSDE},2010-05-23 15:23:39,AJR0319,PC-4736,http://ebay.com/Hamilton_Ontario/stelcos/nhgbercnveivqrbfobngenpvatfrncbeg1029042913.php,disposed until personally hip jams other continuing pure went beatbox location grand inner both damage before transferred until committees commuters marsden thus press proponents,15,6,7
