id,date,user,pc,activity,activity_binary,hour,dayofweek,activity_code
{Z1X3-M6WD45MA-5163PVTC},2010-08-20 07:33:00,JCR0172,PC-6713,logon,1,7,4,1
{V1P9-P0UM61HY-8880QXWD},2010-12-24 07:45:00,JCR0172,PC-6713,logon,1,7,4,1
{G5R5-O7LN10EK-2684UUXZ},2011-02-19 07:41:00,JCR0172,PC-6713,logon,1,7,5,1
{Z7T4-H6TO90ZF-5130GHAZ},2010-08-06 12:03:04,MDM0625,PC-4984,logon,1,12,4,1
{S6Q9-K8QI37MG-5367GTXV},2011-02-07 10:12:31,MDM0625,PC-4124,logon,1,10,0,1
{N8A9-K0WH48EP-1865WTYA},2010-06-08 08:03:00,MDM0625,PC-4984,logon,1,8,1,1
{V0X7-M1PO67AH-1508RBUQ},2010-03-01 13:33:47,BTW0005,PC-4124,logon,1,13,0,1
{Z0D7-G2NJ13LT-4534QXXZ},2010-03-10 07:27:00,BTW0005,PC-2915,logon,1,7,2,1
{M3K8-Z5PU61MR-8484QANF},2010-02-04 07:31:00,BTW0005,PC-2915,logon,1,7,3,1
{Z0O3-E2BY90LL-8070SFEK},2011-02-25 12:21:30,DLM0051,PC-0166,logon,1,12,4,1
{R4D8-F9MM90XK-8595DXDY},2010-12-27 07:01:00,DLM0051,PC-0166,logon,1,7,0,1
{S8I7-V4GM91HC-5608MZVG},2010-03-15 14:27:02,DLM0051,PC-4124,logon,1,14,0,1
{Q6F7-O9GH55ZX-1920TJFE},2011-04-08 08:07:00,HSB0196,PC-8001,logon,1,8,4,1
{W5J8-N3QA30BC-6058FBTT},2010-03-18 08:13:00,HSB0196,PC-8001,logon,1,8,3,1
{Z9H6-D1IO81EA-8616OETL},2010-11-09 08:11:00,HSB0196,PC-8001,logon,1,8,1,1
{E4S5-A8ME69DB-5132QBDB},2010-05-28 13:24:42,AJR0319,PC-4736,logon,1,13,4,1
{L1I5-C0EJ56OS-0846WFOP},2010-12-21 07:42:00,AJR0319,PC-4736,logon,1,7,1,1
{J3W8-Q8RA48JC-3216KWQH},2010-05-17 07:30:00,AJR0319,PC-4736,logon,1,7,0,1
{C8J6-S5MF00LL-9922MQFG},2011-03-08 07:15:00,TVS0050,PC-2174,logon,1,7,1,1
{N7C6-H3YH70JK-7472LJEX},2010-07-06 07:10:00,TVS0050,PC-2174,logon,1,7,1,1
{B7B8-V4KC96QX-7819FJEZ},2010-05-21 07:14:00,TVS0050,PC-2174,logon,1,7,4,1
{Q8B7-A3TG73EW-7341AXAQ},2010-10-13 08:00:00,MSS0001,PC-3952,logon,1,8,2,1
{Z6A6-W7CR83WI-6583ZOCO},2010-11-02 12:51:15,MSS0001,PC-3952,logon,1,12,1,1
{S1B9-C4KL74NY-1575HRRX},2010-05-17 13:25:48,MSS0001,PC-3952,logon,1,13,0,1
{Q5S0-B6TA16CI-4379HOGN},2011-02-03 08:37:00,TVS0006,PC-5873,logon,1,8,3,1
{M9M1-E7KM73PO-2319EGHN},2010-07-19 08:48:00,TVS0006,PC-5873,logon,1,8,0,1
{C1K6-R7SC04RP-4732FMWK},2011-03-15 08:36:00,TVS0006,PC-5873,logon,1,8,1,1
{X5V4-M0ON94NT-1605FXHI},2010-09-24 08:10:00,QRM0739,PC-7343,logon,1,8,4,1
{J0X4-P3FE46MW-5109NQLL},2010-02-18 07:49:00,QRM0739,PC-7343,logon,1,7,3,1
{Z9R7-Q4UT76UE-5254NRBS},2010-01-25 07:59:00,QRM0739,PC-7343,logon,1,7,0,1
{R7L4-U6YY06HK-4636FILN},2010-06-07 08:30:00,HCS0003,PC-3054,logon,1,8,0,1
{N7V8-X2ML00DO-9174KFEW},2010-08-17 08:18:00,HCS0003,PC-3054,logon,1,8,1,1
{M1L7-E2YD74OE-2905HGHR},2011-02-09 08:33:00,HCS0003,PC-3054,logon,1,8,2,1
{V1O7-B4XA99ID-4807YYTF},2011-02-16 12:27:20,GKO0078,PC-4233,logon,1,12,2,1
{L0E9-I1LW30YM-8063WRJK},2010-12-30 13:01:04,GKO0078,PC-4233,logon,1,13,3,1
{B4U9-M5CG63WL-0215WILF},2011-04-12 11:37:44,GKO0078,PC-4233,logon,1,11,1,1
{Y4V1-E4CS39NN-2384UETH},2011-04-28 13:00:53,OBH0499,PC-7989,logon,1,13,3,1
{B8Z9-I5LU14XX-2220URWB},2010-09-02 08:10:00,OBH0499,PC-7989,logon,1,8,3,1
{Y8T3-L9NZ63AD-7588AJPN},2010-07-08 08:10:00,OBH0499,PC-7989,logon,1,8,3,1
{V6U8-F2WH92BC-3557ZYDI},2010-10-29 07:03:00,HTH0007,PC-8851,logon,1,7,4,1
{B9A9-V9KG18IV-5293FIQS},2010-03-23 07:01:00,HTH0007,PC-8851,logon,1,7,1,1
{B0R1-U6ST24DI-0883JHLZ},2010-04-16 06:57:00,HTH0007,PC-8851,logon,1,6,4,1
{J6W8-C3NT15DQ-9334JSAF},2010-06-07 07:47:00,KWC0004,PC-2017,logon,1,7,0,1
{K9B8-U9YE54IC-2250WIQM},2010-08-17 08:01:00,KWC0004,PC-2017,logon,1,8,1,1
{Z3G8-I2XL36FQ-6758LWLA},2011-02-09 08:01:00,KWC0004,PC-2017,logon,1,8,2,1
{J2U8-C9RF67GU-3981NHFO},2011-03-16 07:46:00,THR0873,PC-4804,logon,1,7,2,1
{K9O6-C1BZ79PE-0336BWQA},2010-02-17 07:42:00,THR0873,PC-4804,logon,1,7,2,1
{B5D1-O4QV53ZF-6222FHDJ},2010-01-22 07:36:00,THR0873,PC-4804,logon,1,7,4,1
{I9L6-U0AG11TH-5052UCSU},2011-03-30 15:23:19,KBP0008,PC-4124,logon,1,15,2,1
{E0A9-D1DJ55YP-9938KBEM},2010-01-22 15:48:13,KBP0008,PC-4124,logon,1,15,4,1
{R5B3-M5OE35CW-7351PSEI},2010-06-18 11:58:22,KBP0008,PC-3851,logon,1,11,4,1
{Z8T0-V7CQ51GW-9298LQCA},2011-01-10 12:06:07,LBF0214,PC-3819,logon,1,12,0,1
{C0Y1-P6DJ86EY-7795DGCK},2010-09-14 13:09:07,LBF0214,PC-3819,logon,1,13,1,1
{N5G5-Y2GL51US-6943OSZP},2010-04-15 09:16:02,LBF0214,PC-4124,logon,1,9,3,1
{J7J1-V1IE64ZP-6420BPMJ},2010-02-11 07:31:00,JDB0169,PC-7502,logon,1,7,3,1
{C7G6-W4NI81HO-9629KQRU},2011-04-19 12:08:49,JDB0169,PC-7502,logon,1,12,1,1
{Z7S1-Q5BS73IX-2755KCTS},2010-03-10 07:44:00,JDB0169,PC-7502,logon,1,7,2,1
{W7D9-J5TF65SA-5869EICC},2010-06-29 10:52:39,RZC0746,PC-7500,logon,1,10,1,1
